id,name
0,Accounting
1,Africana Studies
2,Allied Health Sciences
3,Applied Leadership Studies
4,Asian Studies
5,Anthropology
6,Art
7,Art History
8,Biblical Languages
9,Biology
10,Chemistry
11,Chinese
12,Classical Studies
13,Classics
14,Communication Studies
15,Computer Science
16,Dance
17,Data Science
18,Economics
19,Education
20,English
21,Environmental Studies
22,Exercise Science
23,Foreign Culture
24,French
25,German
26,Health Promotion
27,History
28,International Business
29,International Studies
30,Journalism
31,Linguistics
32,Management
33,Mathematics
34,Mathematics/Statistics
35,Museum Studies
36,Music
37,Musical Theatre
38,Neuroscience
39,Nordic Studies
40,Nursing
41,Paideia	
42,Philosophy
43,Physics
44,Political Science
45,Psychology
46,Religion
47,Social Welfare
48,Social Work
49,Sociology
50,Spanish
51,Theatre
52,Visual Communication
53,Women and Gender Studies
